id,user_id,action_time,action_type,details,ip_address,user_agent
1,admin,"2025-12-05 18:44:40",ログイン,ログインに成功しました,::1,
2,admin,"2025-12-05 18:45:49",管理者削除,"管理者 [hikakin] を削除しました",::1,
3,admin,"2025-12-05 18:45:59",管理者登録,"新規管理者 [seikin] () を作成しました",::1,
4,admin,"2025-12-05 18:46:11",管理者登録,"新規管理者 [hikakin] () を作成しました",::1,
5,admin,"2025-12-05 18:48:52",データ保存,「堂前警察署兎駐在所」を追加,::1,
6,admin,"2025-12-05 18:49:44",データ削除,"ID: 12144 を削除しました",::1,
7,admin,"2025-12-05 18:50:35",データ保存,"ID: 12143 の情報を更新",::1,
8,admin,"2025-12-05 18:50:50",ログアウト,ユーザーがログアウトしました,::1,
9,hikakin,"2025-12-05 18:50:55",ログイン,ログインに成功しました,::1,
10,hikakin,"2025-12-05 18:51:23",データ保存,"ID: 12143 の情報を更新",::1,
11,hikakin,"2025-12-05 18:51:25",ログアウト,ユーザーがログアウトしました,::1,
12,seikin,"2025-12-05 18:51:36",ログイン,ログインに成功しました,::1,
13,seikin,"2025-12-05 18:51:56",データ保存,"ID: 12143 の情報を更新",::1,
14,seikin,"2025-12-05 18:51:57",ログアウト,ユーザーがログアウトしました,::1,
15,admin,"2025-12-05 18:52:03",ログイン,ログインに成功しました,::1,
16,hikakin,"2025-12-05 18:58:26",ログイン,ログインに失敗しました,::1,
17,hikakin,"2025-12-05 18:58:41",ログイン,ログインに成功しました,::1,
18,hikakin,"2025-12-05 18:59:01",パスワード変更,パスワードの変更に成功しました,::1,
19,admin,"2025-12-05 18:59:12",ログイン,ログインに成功しました,::1,
20,hikakin,"2025-12-05 19:00:21",ログイン,ログインに成功しました,::1,
21,admin,"2025-12-05 19:00:30",ログイン,ログインに成功しました,::1,
22,hikakin,"2025-12-05 19:02:07",ログイン,ログインに失敗しました,::1,
23,hikakin,"2025-12-05 19:02:24",ログイン,ログインに成功しました,::1,
24,hikakin,"2025-12-05 19:02:33",パスワード変更,パスワードの変更に成功しました,::1,
25,admin,"2025-12-05 19:02:46",ログイン,ログインに成功しました,::1,
26,admin,"2025-12-05 19:12:29",ログアウト,ログアウトしました（成功）,::1,
27,hikakin,"2025-12-05 19:12:50",ログイン,ログインに成功しました,::1,
28,hikakin,"2025-12-05 19:12:53",ログアウト,ログアウトしました（成功）,::1,
29,admin,"2025-12-05 19:12:58",ログイン,ログインに成功しました,::1,
30,admin,"2025-12-05 19:15:24",ログアウト,ログアウトしました（成功）,::1,
31,seikin,"2025-12-05 19:15:34",ログイン,ログインに成功しました,::1,
32,seikin,"2025-12-05 19:16:48",データ保存,"ID: 12143 の情報を更新",::1,
33,seikin,"2025-12-05 19:16:50",ログアウト,ログアウトしました（成功）,::1,
34,admin,"2025-12-05 19:16:57",ログイン,ログインに成功しました,::1,
35,hikakin,"2025-12-05 19:18:19",ログイン,ログインに成功しました,::1,
36,hikakin,"2025-12-05 19:18:37",ログアウト,ログアウトしました（成功）,::1,
37,seikin,"2025-12-05 19:18:59",ログイン,ログインに成功しました,::1,
38,seikin,"2025-12-05 19:19:13",ログアウト,ログアウトしました（成功）,::1,
39,hikakin,"2025-12-05 19:19:19",ログイン,ログインに成功しました,::1,
40,hikakin,"2025-12-05 19:19:45",パスワード変更,パスワードの変更に成功しました,::1,
41,hikakin,"2025-12-05 19:19:53",ログイン,ログインに失敗しました,::1,
42,hikakin,"2025-12-05 19:19:58",ログアウト,ログアウトしました（成功）,::1,
43,hikakin,"2025-12-05 19:20:03",ログイン,ログインに失敗しました,::1,
44,hikakin,"2025-12-05 19:20:12",ログイン,ログインに成功しました,::1,
45,hikakin,"2025-12-05 19:20:18",パスワード変更,パスワードの変更に成功しました,::1,
46,hikakin,"2025-12-05 19:22:21",ログアウト,ログアウトしました（成功）,::1,
47,hikakin,"2025-12-05 19:25:57",ログイン,ログインに成功しました,::1,
